"","UserId","0h-2h","2h-4h","4h-6h","6h-8h","8h-10h","10h-12h","12h-14h","14h-16h","16h-18h","18h-20h","20h-22h","22h-0h"
"1278","AAQSwip1M4A=",0,0,10.9615384615385,15.1923076923077,19.6153846153846,20.1923076923077,25.5769230769231,7.69230769230769,0,0,0,0.769230769230769
"1279","AAQ6pCp1M4E=",0,0,0,0,23.7082066869301,0,45.2887537993921,7.29483282674772,23.7082066869301,0,0,0
"1280","AARdIvIxNoA=",0,0,0,0,33.3333333333333,0,64.367816091954,2.29885057471264,0,0,0,0
"1281","AATsI/IxNoA=",0,0,0,3.08880308880309,27.7992277992278,5.01930501930502,33.2046332046332,21.2355212355212,9.65250965250965,0,0,0
"1282","AAT3dfIxNoA=",4.54545454545455,0,0,21.2121212121212,54.5454545454545,0,10.6060606060606,0,9.09090909090909,0,0,0
"1283","kPjLSP8i8mE=",0,0,0,0,0,13.7339055793991,25.7510729613734,6.43776824034335,45.9227467811159,8.15450643776824,0,0
"1284","Ich9cHs/nWE=",0,0,0,0,0,6.60377358490566,0,0,35.8490566037736,57.5471698113208,0,0
"1285","hxbUn3kVdWE=",0,0,0,0,13.7931034482759,0,16.256157635468,46.3054187192118,23.6453201970443,0,0,0
"1286","AAQ7afIxNoA=",0,0,13.8211953086593,26.5678769576515,29.3419481705176,2.54231336470258,2.73193342229089,22.0099726104361,2.38078516749772,0.547791277477351,0,0.0561837207669078
"1287","AASwZfIxNoA=",0,0,0,0,76.056338028169,0,0,23.943661971831,0,0,0,0
"1288","Ucz+YWuwPWE=",0,0,0,0,22.4137931034483,77.5862068965517,0,0,0,0,0,0
"1289","Oyn3dSIliWE=",0,0,0,0,0,52.5,47.5,0,0,0,0,0
"1290","AARcWPIxNoA=",0,0,0,0,0,5.63380281690141,6.33802816901408,6.33802816901408,4.22535211267606,16.1971830985915,61.2676056338028,0
"1291","AATkZfIxNoA=",0,0,0,0,30,3,0,0,0,23,38,6
"1292","3Md8ZK4xkWE=",0,0,0,0,13.2275132275132,6.87830687830688,19.5767195767196,0,15.8730158730159,12.6984126984127,31.7460317460317,0
"1293","TIVoAKQggWE=",0,0,0,0,0,0,0,0,0,0,0,100
"1294","TIXpCLTgj2E=",0,0,0,14.2857142857143,27.9503105590062,0,37.888198757764,9.93788819875776,9.93788819875776,0,0,0
"1295","tbaqbHGTLmE=",0,0,1.62412993039443,10.9048723897912,11.8329466357309,0,23.6658932714617,33.6426914153132,18.3294663573086,0,0,0
"1296","AAQhuSp1M4E=",0,0,0,0,54.8387096774194,0,0,45.1612903225806,0,0,0,0
"1297","AARTtCp1M4A=",0,0,0,90,0,0,0,10,0,0,0,0
"1298","AAQIS/IxNoE=",0,0,0,0,34.2281879194631,0,65.7718120805369,0,0,0,0,0
"1299","AATcQ/IxNoA=",0,0.0320924261874198,0.577663671373556,7.798459563543,28.2734274711168,22.8818998716303,16.9448010269576,11.007702182285,4.20410783055199,1.21951219512195,7.06033376123235,0
"1300","AATVJfIxNoA=",0,0,0,45.7943925233645,20.7943925233645,0,0,11.214953271028,22.196261682243,0,0,0
"1301","AAQYQfIxNoA=",0,0,0,0,0,0,0,98.3870967741936,0,0,0,1.61290322580645
"1302","AAQ8RvIxNoA=",0,0,0,0,42.2680412371134,0,21.1340206185567,0.515463917525773,36.0824742268041,0,0,0
"1303","AARMPfIxNoA=",0,0,0,0,0,0,100,0,0,0,0,0
"1304","AARFM/IxNoA=",0,0,0,9.16666666666667,72.5,10.8333333333333,0,7.5,0,0,0,0
"1305","HtLLTsnrbmE=",0,0,0,0,0,0,0,100,0,0,0,0
"1306","AAQtY/IxNoE=",0,0,0,0,7.75347912524851,5.96421471172962,16.3021868787276,69.9801192842942,0,0,0,0
"1307","m70XBoQOwWE=",0,0,0,74.0740740740741,19.4444444444444,3.7037037037037,2.77777777777778,0,0,0,0,0
"1308","AARmQPIxNoA=",0,0,0,8.29268292682927,30.7317073170732,14.6341463414634,16.3414634146341,23.9024390243902,6.09756097560976,0,0,0
"1309","AATsLfIxNoA=",0,0,0,14.5652173913043,23.9130434782609,0,33.9130434782609,14.5652173913043,13.0434782608696,0,0,0
"1310","/bocT63TuGE=",0,0,0,0,0,41.7582417582418,34.0659340659341,24.1758241758242,0,0,0,0
"1311","cWziFwtVxmE=",0,0,0,0,6.57777777777778,30.3555555555556,0,23.8222222222222,39.2444444444444,0,0,0
"1312","7wIiFnjDXGE=",0,0,0,17.741935483871,23.5483870967742,10.6451612903226,38.7096774193548,9.35483870967742,0,0,0,0
"1313","AAT6KvIxNoA=",0,0,0.52930056710775,10.5103969754253,5.33081285444234,7.10775047258979,10.7750472589792,18.1474480151229,42.5330812854442,5.06616257088847,0,0
"1314","4JDvDLZIcGE=",0,0,0,16.2087912087912,0,17.032967032967,10.1648351648352,44.6428571428571,11.9505494505495,0,0,0
"1315","AATv0Sp1M4A=",0,0,1.34680134680135,6.73400673400673,24.9158249158249,5.72390572390572,8.75420875420875,20.2020202020202,10.1010101010101,4.37710437710438,13.1313131313131,4.71380471380471
"1316","AAT/TPIxNoA=",0,4.20353982300885,0,0,0,0,4.42477876106195,0,32.0796460176991,59.2920353982301,0,0
"1317","AAR/ZfIxNoA=",0,0,0,40.9356725146199,31.5789473684211,0,0,15.3996101364522,7.60233918128655,4.48343079922027,0,0
